name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
"MLPClassifier(sizes=(1,)), thr=0.8",0.5555555555555556,0.5555555555555556,1.0,0.0,0.0,0.5,0.7142857142857143,0.0,0.35714285714285715,0.7453559924999299,0.0,0.2777777777777778,0.5,0.38461538461538464,0.5
"MLPClassifier(sizes=(10,)), thr=0.8",0.6851851851851852,0.6431718061674009,0.9733333333333334,0.9069767441860465,0.325,0.6491666666666667,0.7745358090185677,0.4785276073619632,0.6265317081902655,0.7912146093209711,0.5429248952299619,0.7750742751767237,0.7025633548148857,0.5211267605633803,0.6593944790739091
"MLPClassifier(sizes=(100,)), thr=0.8",0.7148148148148148,0.6666666666666666,0.9733333333333334,0.9215686274509803,0.39166666666666666,0.6825,0.7913279132791328,0.5497076023391813,0.670517757809157,0.8055363982396381,0.6007892412637735,0.7941176470588235,0.7316818305095056,0.5561959654178674,0.6936339522546419
"MLPClassifier(sizes=(200,)), thr=0.8",0.7296296296296296,0.6790697674418604,0.9733333333333334,0.9272727272727272,0.425,0.6991666666666667,0.8,0.5828571428571429,0.6914285714285715,0.8129952277289686,0.6277666039945969,0.8031712473572938,0.7457266911943586,0.5743440233236151,0.7105726872246696
"MLPClassifier(sizes=(10, 10)), thr=0.8",0.6148148148148148,0.592,0.9866666666666667,0.9,0.15,0.5683333333333334,0.74,0.2571428571428571,0.49857142857142855,0.7642687136515969,0.3674234614174767,0.746,0.6296533840669035,0.44385026737967914,0.5745454545454546
KNeighborsClassifier(k=1),0.7481481481481481,0.7733333333333333,0.7733333333333333,0.7166666666666667,0.7166666666666667,0.745,0.7733333333333333,0.7166666666666667,0.745,0.7733333333333333,0.7166666666666667,0.745,0.745,0.5976331360946746,0.745
KNeighborsClassifier(k=2),0.762962962962963,0.7388888888888889,0.8866666666666667,0.8111111111111111,0.6083333333333333,0.7475,0.806060606060606,0.6952380952380952,0.7506493506493506,0.8094122238687456,0.7024428275140446,0.775,0.7608879069638913,0.6167664670658682,0.7538461538461538
KNeighborsClassifier(k=3),0.8111111111111111,0.8461538461538461,0.8066666666666666,0.7716535433070866,0.8166666666666667,0.8116666666666666,0.825938566552901,0.7935222672064778,0.8097304168796894,0.8261743778186917,0.7938411220352097,0.8089036947304664,0.8102821052810846,0.6822429906542056,0.8098591549295775
KNeighborsClassifier(k=5),0.8222222222222222,0.8311688311688312,0.8533333333333334,0.8103448275862069,0.7833333333333333,0.8183333333333334,0.8421052631578947,0.7966101694915254,0.8193577163247101,0.8421781695485043,0.7967246167544522,0.820756829377519,0.8195427838102073,0.6981132075471698,0.8193979933110368
KNeighborsClassifier(k=7),0.8222222222222222,0.8355263157894737,0.8466666666666667,0.8050847457627118,0.7916666666666666,0.8191666666666666,0.8410596026490066,0.7983193277310925,0.8196894651900495,0.8410780467363028,0.798347516475217,0.8203055307760927,0.8197355916577054,0.6981132075471698,0.8196994991652755
KNeighborsClassifier(k=9),0.8222222222222222,0.8269230769230769,0.86,0.8157894736842105,0.775,0.8175,0.8431372549019608,0.7948717948717948,0.8190045248868778,0.8432993810941913,0.7951332228659944,0.8213562753036436,0.8194223182698837,0.6981132075471698,0.8190954773869347
"LinearSVC(C=0.01), thr=0.2",0.7518518518518519,0.9191919191919192,0.6066666666666667,0.6549707602339181,0.9333333333333333,0.77,0.7309236947791165,0.7697594501718213,0.750341572475469,0.7467550452746187,0.7818606288111649,0.7870813397129186,0.7784097012003857,0.6023738872403561,0.7589928057553956
"LinearSVC(C=0.1), thr=0.2",0.7444444444444445,0.900990099009901,0.6066666666666667,0.650887573964497,0.9166666666666666,0.7616666666666667,0.7250996015936255,0.7612456747404844,0.7431726381670549,0.7393244619691727,0.7724292477636958,0.7759388364871991,0.7687080116920293,0.5929203539823009,0.7514011208967174
